Comparações_AVL	Tamanho_AVL	Comparações_ABB	Tamanho_ABB
14	12385	17	12385
15	48917	23	48917
10	5744	21	5744
14	3566	17	3566
16	36449	24	36449
12	6992	17	6992
14	7475	25	7475
17	39165	30	39165
11	4550	17	4550
14	4578	10	4578
16	43461	23	43461
16	37328	24	37328
11	7699	16	7699
14	20969	21	20969
16	30133	12	30133
14	15755	22	15755
14	30567	13	30567
15	24248	17	24248
16	5669	24	5669
13	9125	15	9125
16	46112	29	46112
15	16239	19	16239
17	49676	32	49676
16	24590	28	24590
13	9145	23	9145
14	4315	19	4315
15	41228	26	41228
14	13595	23	13595
16	3922	23	3922
15	35461	15	35461
16	48483	13	48483
16	40852	27	40852
12	5240	20	5240
16	37930	26	37930
16	13411	23	13411
15	37386	23	37386
16	45454	18	45454
16	48069	24	48069
18	23629	31	23629
18	41860	33	41860
15	10374	16	10374
16	10158	22	10158
14	20942	16	20942
11	1048	19	1048
14	44451	13	44451
13	15143	23	15143
17	34234	28	34234
15	13713	26	13713
17	14391	28	14391
15	29217	28	29217
16	31804	29	31804
16	8367	29	8367
16	27072	16	27072
15	11174	14	11174
14	6753	25	6753
16	35010	13	35010
15	20826	23	20826
16	21711	20	21711
14	36808	18	36808
14	32338	27	32338
15	7051	18	7051
15	30449	25	30449
13	5380	17	5380
16	29318	26	29318
12	11628	16	11628
14	21692	24	21692
15	32011	20	32011
15	34485	21	34485
16	46970	26	46970
16	23440	12	23440
15	9566	26	9566
12	3691	17	3691
17	49486	22	49486
14	28778	22	28778
14	18591	22	18591
15	36937	25	36937
15	36811	17	36811
16	8383	20	8383
14	18108	17	18108
15	31023	29	31023
13	11586	21	11586
15	12798	29	12798
19	42698	28	42698
16	23043	24	23043
15	43716	16	43716
15	32752	20	32752
16	35260	24	35260
15	39531	19	39531
16	16790	23	16790
14	31535	20	31535
16	24237	21	24237
14	30011	22	30011
16	43679	20	43679
16	29401	20	29401
13	22443	19	22443
15	24722	25	24722
16	19889	11	19889
14	10657	24	10657
15	20796	30	20796
15	46555	27	46555
16	16339	21	16339
14	4101	23	4101
17	34069	26	34069
16	8033	25	8033
9	677	11	677
14	21770	11	21770
14	34844	16	34844
16	47552	30	47552
15	18540	25	18540
16	25321	17	25321
15	24362	25	24362
16	41528	30	41528
16	29024	21	29024
16	28241	32	28241
16	33231	18	33231
16	43047	19	43047
16	20909	30	20909
14	7028	23	7028
15	27735	31	27735
15	37208	21	37208
16	3354	20	3354
16	21416	18	21416
17	49916	24	49916
16	30456	18	30456
16	40257	19	40257
16	11298	27	11298
15	18645	26	18645
16	28720	33	28720
16	39578	19	39578
15	42308	25	42308
15	11449	21	11449
12	36060	28	36060
17	31063	20	31063
16	10493	22	10493
16	11669	24	11669
17	28912	29	28912
15	10443	21	10443
16	37682	21	37682
17	41301	20	41301
14	20147	24	20147
15	34559	21	34559
14	8815	19	8815
16	20082	30	20082
17	42360	26	42360
14	32898	25	32898
17	41907	20	41907
16	42550	19	42550
15	13539	15	13539
15	47476	26	47476
16	7134	12	7134
15	31828	24	31828
16	47785	24	47785
15	31042	20	31042
16	39067	22	39067
9	1231	22	1231
14	29950	22	29950
15	39183	25	39183
15	1035	17	1035
14	10115	14	10115
16	47595	27	47595
16	37731	25	37731
17	37719	15	37719
15	22149	16	22149
14	2892	21	2892
12	2633	19	2633
16	40360	19	40360
17	42363	21	42363
16	47403	23	47403
16	37622	23	37622
17	20198	24	20198
14	7917	22	7917
13	4506	12	4506
15	6491	20	6491
15	17486	24	17486
16	45518	20	45518
12	5638	18	5638
16	30872	19	30872
15	34827	21	34827
16	9460	23	9460
12	569	14	569
15	17088	17	17088
14	40408	22	40408
14	12462	15	12462
16	46012	30	46012
15	13182	22	13182
18	49184	28	49184
9	204	12	204
15	48867	26	48867
16	25801	20	25801
15	31802	22	31802
16	3210	23	3210
18	41875	31	41875
15	40474	23	40474
15	30370	26	30370
15	2799	14	2799
14	22854	15	22854
15	32178	22	32178
16	23956	25	23956
14	40195	25	40195
16	40064	22	40064
15	36548	24	36548
15	49407	21	49407
15	19729	26	19729
16	45722	23	45722
11	9777	21	9777
16	5989	25	5989
16	42732	27	42732
14	15287	20	15287
16	28531	16	28531
17	35853	25	35853
16	43597	23	43597
13	27558	21	27558
14	21017	19	21017
17	46581	15	46581
16	31936	22	31936
12	2842	15	2842
15	28224	23	28224
17	42045	25	42045
17	30253	23	30253
14	7865	23	7865
16	8370	18	8370
16	4391	23	4391
15	37166	13	37166
15	44791	22	44791
14	11209	10	11209
16	29132	19	29132
17	34864	26	34864
17	48409	25	48409
16	14024	13	14024
17	39113	32	39113
14	24497	30	24497
13	305	11	305
17	44461	30	44461
15	11776	21	11776
15	39621	26	39621
15	7731	23	7731
14	28379	28	28379
15	16146	18	16146
16	26878	20	26878
14	26966	24	26966
16	20578	29	20578
16	31955	26	31955
14	16200	16	16200
15	10712	16	10712
17	40778	23	40778
17	23920	20	23920
17	39613	26	39613
14	12454	14	12454
16	47231	12	47231
16	28354	20	28354
