Posicao	ABB	AVL
16193	17	13
18306	22	15
18617	13	14
16433	19	14
9322	14	12
5799	17	12
10410	22	13
10574	16	13
11702	19	15
9227	18	14
2331	14	12
5727	22	13
13285	22	14
12677	20	13
10797	25	14
18236	17	17
2083	16	13
13043	16	15
6314	18	11
842	11	11
3277	24	13
4638	21	14
10631	16	14
19831	14	16
10335	22	14
14182	20	15
15176	20	16
16344	17	15
16522	19	13
11727	13	14
16944	18	14
7198	19	14
13052	17	13
3476	19	11
9997	12	13
19814	22	15
6050	18	14
15680	19	15
11187	16	15
4785	17	16
16237	23	15
19963	16	16
19223	16	16
13745	17	15
19416	16	15
11783	16	14
5899	18	15
8288	13	15
17963	18	15
18983	12	15
6087	16	15
12674	19	14
18185	15	15
13899	24	13
5726	18	10
9880	17	15
19107	21	13
1074	12	13
8873	21	11
802	12	14
8882	22	15
17554	16	14
5351	14	14
12399	14	15
2746	19	13
2240	17	10
813	14	14
10154	16	13
9563	19	13
16081	17	15
2006	15	14
2484	11	9
927	14	10
12036	18	15
1284	10	11
14347	16	15
14641	21	14
11370	20	14
6235	13	14
12172	20	14
5582	11	15
8651	17	13
14960	17	16
15867	20	14
8403	15	15
1279	16	13
18522	16	15
14876	22	12
17092	18	15
18880	14	15
15786	14	15
4427	13	13
19323	17	14
7116	20	13
5518	14	13
5652	13	15
14611	14	14
3657	13	11
13455	16	15
12185	21	14
2208	17	12
17818	18	14
9847	14	14
3754	12	13
19669	23	15
14517	13	16
18347	20	15
10297	13	13
4331	12	12
19833	16	16
4795	21	15
12357	15	15
7279	21	13
9298	23	15
10403	14	14
1492	17	10
16793	17	16
16665	20	14
7595	20	14
12205	14	13
80	6	11
9688	11	14
15672	17	14
8073	15	14
12244	21	14
14872	14	14
17244	23	15
6164	19	13
804	11	14
14922	17	15
2612	15	11
7714	25	11
3929	18	12
14101	22	14
3639	15	15
18752	19	16
18206	17	14
8562	22	11
11007	14	12
16851	19	13
16232	22	14
7616	21	13
12208	17	14
11681	17	16
661	14	13
5430	19	15
4671	14	15
14464	21	15
17746	20	15
19655	20	16
17931	19	15
14725	22	14
15479	17	13
17593	17	14
15078	22	15
5098	15	13
2103	10	12
2105	17	11
4592	15	14
14376	19	12
14367	20	13
9332	14	13
16556	28	14
17248	22	14
6014	15	13
19425	22	14
3579	15	15
19799	26	16
18089	15	16
9848	21	12
12098	17	12
4307	21	13
11126	20	17
3359	17	14
6364	17	13
16284	20	12
7907	18	12
3605	13	14
4457	18	13
17622	21	16
10684	24	15
7663	20	13
10045	21	14
17093	18	16
17312	14	13
14457	18	15
16566	16	16
6346	16	13
15876	18	14
12615	22	13
13242	18	14
9212	19	15
13127	20	12
1681	16	10
12515	12	15
1214	12	13
10538	15	14
8856	16	14
